feature_id,L30,S30,W30,feature_frequency
14fecd5000cea1102ac7374fc576fdff,0.0,1.0,0.0,5.0
15365ea4ce981885aa10eb6f7ca205a0,1.0,0.0,0.0,25.0
157d1fb1cd45e8f2a9fa810f8bf5d5a3,0.0,1.0,1.0,691.0
1581160c6777728d48e08fa9b5537a7f,1.0,0.0,0.0,216.0
15949af7fbc59962388dce15963f9cec,1.0,1.0,1.0,99658.0
15b10d1c8cb1c71b71fcba502f364f74,1.0,0.0,1.0,579.0
15d94350fca02777657e6cee8e45a3bd,0.0,1.0,1.0,721.0
15e09a7ae2a409ad434eb2338c6c024b,0.0,1.0,1.0,1411.0
15e7fb143583eb44ad7f421b6997fb8e,0.0,1.0,0.0,4.0
160992916a78cd7aee372abbd2fedf81,0.0,0.0,1.0,2.0
1619544a1f6dcd088dea028eb4122582,0.0,0.0,1.0,3.0
161a6c86461ea91e4b9040e08fa7dfd5,1.0,0.0,0.0,2.0
1621a4244c4a7b45f7f1df479f3dc175,1.0,1.0,1.0,720.0
16367da666d3d04445522eddaa5bfa8f,1.0,1.0,1.0,4283.0
1642d77471c9c7186664a271ef04e1c2,0.0,1.0,0.0,3.0
1642e15de445173bfab283431e2589d7,0.0,1.0,0.0,2.0
169699d04a73f6d4351f3cce8c37a336,1.0,0.0,0.0,9.0
16e23c5555c82a5ca2c983e30e5ef7bf,1.0,1.0,0.0,46.0
16e2e2408cedf8f9faae33004fb5eaa2,1.0,1.0,1.0,766.0
16f7c728fe7f8f9a9949102acd617bc8,1.0,0.0,0.0,26.0
171f2fadb95be4727f8e93b87ef8cc7c,0.0,1.0,0.0,8.0
173c368a34ea25d60a049e4c288f43c2,1.0,0.0,0.0,63.0
176524045b85e1646275dad7ea5c6262,1.0,0.0,0.0,3.0
17bebf35c535089733643f4a2ae073b3,0.0,1.0,0.0,21.0
17cc95313d224e007f8fbceedb42180a,0.0,1.0,1.0,1718.0
1816e09570f69294ef9acec1652a8455,0.0,1.0,1.0,2582.0
18201114517eb86847babdc61b210213,1.0,0.0,0.0,152.0
1825001eae7c6cfa74fd360cc9f9d3b7,0.0,0.0,1.0,5.0
1839b326e102cf85f4a6726b0df8d663,0.0,0.0,1.0,7.0
18d3ea9afb0d0591a1a86c11433bd3f3,1.0,0.0,1.0,80.0
18d9e42c2d1d599aea87afcd9adb790f,0.0,0.0,1.0,5.0
18e1cb84e6e559c5e508f6d4b3005ee1,0.0,1.0,1.0,2407.0
18febf70c043228ccf84b7f9c5e49370,1.0,0.0,0.0,7.0
1914aa84fc7f965e509b4302ae002c3e,0.0,1.0,1.0,16373.0
1924b196928966e1019e3472a4b1fb1f,0.0,1.0,0.0,2.0
1933c5c1943b0c8e6a2f62a2dfb23383,1.0,1.0,1.0,225.0
19a97ce61e5838cdf56cc50b2f113b02,1.0,0.0,0.0,377.0
19eaea7df6b12fe7679fa15170a319c6,0.0,0.0,1.0,12.0
19f17ca6a9660892a093b4471e333709,0.0,0.0,1.0,3.0
1a17ad23f1338cea01a867faf5b25e4e,0.0,1.0,0.0,38.0
1a3118a0aa39ad89c16af515acd80b0f,1.0,0.0,1.0,153.0
1a799986bc2f034fdaf4f3e0b0460365,0.0,0.0,1.0,37.0
1a8b1a255469f56ed079d8ab547be965,0.0,1.0,0.0,2.0
1a982896cd9275532828c93d4cb964a5,0.0,1.0,0.0,3.0
1ad0dc3d43e9b7195145681c5a519db7,1.0,0.0,1.0,1334.0
1b11499cd437268f7a338f714c4d5310,0.0,1.0,1.0,1746.0
1b3abe12a9f5bf26030788eb64ea3a20,0.0,1.0,0.0,3.0
1bace34366a25fa36122cbfae31e0eee,1.0,0.0,1.0,53.0
1bb5e1698bb40a73c3ec83941d1238b0,0.0,1.0,0.0,3.0
1bca25e5db46692c21c5099605baa1ea,0.0,1.0,1.0,989.0
1be56504a9da231b8c96a65b858c267d,1.0,1.0,1.0,240.0
1bf3b9f89c2f2a35fc9ec87c162ce3da,1.0,1.0,1.0,1551.0
1c0700de5bb9dac6ff383bd9a5fce2d4,0.0,0.0,1.0,8.0
1c0de58d4a6d56aeb52b634ab5ac5e50,0.0,1.0,1.0,145.0
1c2db6bdf83c503d1c7a4f2ff92c2e5c,1.0,1.0,1.0,120976.0
1c6ab43197584732bcccd6b91506d529,0.0,1.0,1.0,710.0
1c8431fc47e80705c9911eab41aabf25,1.0,1.0,1.0,88.0
1ce3b5c6d85ce967f8677e23e3e9b0be,0.0,1.0,1.0,17483.0
1cef0bf7a6de721197dcd4d5642576d3,1.0,0.0,0.0,2.0
1cf70f28daf435bcd2db44ed3f86626a,0.0,1.0,1.0,1290.0
1d5b522e87e4ea15f3be01d87b9eacee,1.0,1.0,1.0,1503.0
1d6562c9196be6b631c7c641dfd0f03b,1.0,0.0,0.0,28.0
1dc09c355256b9137a2e3d95fd54e86e,0.0,0.0,1.0,89.0
1dd56f2fba664391b6fc1bd205175ad9,0.0,0.0,1.0,86.0
1e306ca77deaebd6606fcaa7515c6855,0.0,0.0,1.0,832.0
1e30d06ab8fd1cefe535b9c17cef9d87,0.0,1.0,0.0,2.0
1e503656cb18528077d8a0602e540259,1.0,0.0,0.0,2.0
1e559af431c797629eb8bcc711404353,0.0,1.0,1.0,441.0
1e5a2f7864af0a2f73f7c485b4ea8496,0.0,1.0,0.0,6.0
1e6a7a569f2d5b2309557710fc86f8c2,1.0,0.0,0.0,6.0
1e7a9ffb04e124ce4850e1b60d698cea,0.0,0.0,1.0,2.0
1e9d67df19381137dab46972f0179058,0.0,1.0,0.0,112.0
